ID,NAME,CODE,ISRESIDENTIAL,ISINACTIVE,VERSION
1,Deleted Buildings,0,FALSE,FALSE,0
2,Locksmith,K1,FALSE,FALSE,0
3,ADMINISTRATION,1,FALSE,FALSE,11
4,GRACE HAIGHT,4,FALSE,FALSE,2
5,CHILD DEVELOPMENT CENTER,5,FALSE,FALSE,0
6,SPEECH,6,FALSE,FALSE,0
7,ESTELLE SIDDONS,7,FALSE,FALSE,0
8,MARY GASTON,8,FALSE,FALSE,5
9,MARGARET MACK,9,FALSE,FALSE,1
10,NELL SUNDAY,10,FALSE,FALSE,0
11,GEORGIA CREEL,11,FALSE,FALSE,0
12,MUSEUM & GALLERY/IT VOICE SERVICES,12,FALSE,FALSE,3
13,FINE ARTS,13,FALSE,FALSE,11
14,STUDENT CENTER,14,FALSE,FALSE,16
15,AMPHITORIUM,15,FALSE,FALSE,10
16,RODEHEAVER AUDITORIUM,16,FALSE,FALSE,12
17,FOUNTAIN/MEMORIAL GARDENS,17,FALSE,FALSE,0
18,HOWELL MEMORIAL SCIENCE,18,FALSE,FALSE,9
19,TENNIS COURTS,19,FALSE,FALSE,0
20,BARGE INFIRMARY,20,FALSE,FALSE,8
21,DAVIS FIELD HOUSE,21,FALSE,FALSE,0
22,ALUMNI STADIUM,22,FALSE,FALSE,2
23,PRINT SHOP,23,FALSE,FALSE,0
24,CLEANERS,25,FALSE,FALSE,0
25,APPLIED STUDIES BUILDING,26,FALSE,FALSE,2
26,ACADEMY GYM,27,FALSE,FALSE,0
27,VIDEO SERVICES,28,FALSE,FALSE,1
28,CHEMICAL STORAGE II,30,FALSE,FALSE,0
29,JOHNSON,31,FALSE,FALSE,0
30,REVEAL,32,FALSE,FALSE,0
31,BROKENSHIRE,33,FALSE,FALSE,3
32,SMITH,34,FALSE,FALSE,0
33,GRAVES,35,FALSE,FALSE,0
34,POWER PLANT,36,FALSE,FALSE,3
35,EXECUTIVE RESIDENCE,37,FALSE,FALSE,0
36,MACK LIBRARY,38,FALSE,FALSE,3
37,ALUMNI BUILDING,39,FALSE,FALSE,23
38,MAIN ENTRANCE,40,FALSE,FALSE,1
39,CAMPUS VIEW APARTMENTS,41,FALSE,FALSE,6
40,OFFICE ANNEX,42,FALSE,FALSE,3
41,WEST GATE GUARD HOUSE,43,FALSE,FALSE,1
42,CHEMICAL STORAGE I,45,FALSE,FALSE,0
43,ELEMENTARY SCHOOL,49,FALSE,FALSE,4
44,SAS Carpentry Shop,50,FALSE,FALSE,1
45,ISC WAREHOUSE,51,FALSE,FALSE,0
46,PAVILION I,53,FALSE,FALSE,1
47,SAS Auto/LINC,54,FALSE,FALSE,0
48,BEGINNINGS CENTER,55,FALSE,FALSE,4
49,GROUNDS MAINTENANCE,56,FALSE,FALSE,0
50,TRANSFORMER VAULT,57,FALSE,FALSE,0
51,SCIENCE ANNEX,58,FALSE,FALSE,4
52,FREMONT FITNESS CENTER,59,FALSE,FALSE,5
