ID,OLDID,NUMBER,KEYTYPEID
16385,16385,5,3390
16386,16386,1,3391
16387,16387,2,3391
16388,16388,3,3391
16389,16389,1,3392
16390,16390,2,3392
16391,16391,3,3392
16392,16392,4,3392
16393,16393,5,3392
16394,16394,6,3392
16395,30615,23,4151
16396,30616,8,4475
16397,16397,1,3393
16398,16398,2,3393
16399,16399,1,3394
16400,16400,2,3394
16401,16401,1,3395
16402,16402,2,3395
16403,16403,1,3396
16404,16404,2,3396
16405,16405,1,3397
16406,16406,2,3397
16407,16407,3,3397
16408,16408,1,3398
16409,16409,2,3398
16410,16410,3,3398
16411,16411,4,3398
16412,16412,5,3398
16413,16413,1,3399
16414,16414,2,3399
16415,16415,3,3399
16416,16416,4,3399
16417,16417,5,3399
16418,16418,6,3399
16419,16419,7,3399
16420,16420,8,3399
16421,16421,9,3399
16422,16422,10,3399
16423,16423,11,3399
16424,16424,12,3399
16425,16425,13,3399
16426,16426,14,3399
16427,16427,15,3399
16428,16428,16,3399
16429,16429,17,3399
16430,16430,18,3399
16431,16431,19,3399
16432,16432,20,3399
16433,16433,21,3399
16434,16434,22,3399
16435,16435,23,3399
16436,16436,24,3399
16437,16437,25,3399
16438,16438,26,3399
16439,16439,27,3399
16440,16440,28,3399
16441,16441,1,3400
16442,16442,2,3400
16443,16443,3,3400
16444,16444,4,3400
16445,16445,5,3400
16446,16446,6,3400
16447,16447,7,3400
16448,16448,8,3400
16449,16449,1,3401
16450,16450,2,3401
16451,16451,1,3402
16452,16452,2,3402
16453,16453,3,3402
16454,16454,4,3402
16455,16455,5,3402
16456,16456,6,3402
16457,16457,7,3402
16458,16458,1,3403
16459,16459,2,3403
16460,16460,3,3403
16461,16461,4,3403
16462,16462,1,3404
16463,16463,2,3404
16464,16464,1,3405
16465,16465,2,3405
16466,16466,3,3405
16467,16467,4,3405
16468,16468,5,3405
16469,16469,6,3405
16470,16470,1,3406
16471,16471,2,3406
16472,16472,3,3406
16473,16473,1,3407
16474,16474,2,3407
16475,16475,3,3407
16476,16476,1,3408
16477,16477,1,3409
16478,16478,1,3410
16479,16479,2,3410
16480,16480,1,3411
16481,16481,2,3411
16482,16482,3,3411
16483,16483,4,3411
16484,16484,1,3412
16485,16485,2,3412
16486,16486,1,3413
16487,16487,2,3413
16488,16488,1,3414
16489,16489,2,3414
16490,16490,3,3414
16491,16491,1,3415
16492,16492,2,3415
16493,16493,3,3415
16494,16494,4,3415
16495,16495,1,3416
16496,16496,2,3416
16497,16497,1,3417
16498,16498,2,3417
16499,16499,1,3418
16500,16500,2,3418
16501,16501,1,3419
16502,16502,2,3419
16503,16503,3,3419
