ID,KEYID,KEYSTATUSID,STARTDATE,ENDDATE,OWNERID,PERSONRESPID,NOTE
20740,14830,1,00:00.0,00:00.0,0,0,
20741,14831,3,00:00.0,00:00.0,1149396,0,
20742,7257,4,00:00.0,00:00.0,0,0,
20743,7256,1,00:00.0,00:00.0,0,0,
20744,16854,1,00:00.0,00:00.0,0,0,
20745,16855,3,00:00.0,00:00.0,1257046,0,
20746,16857,3,00:00.0,00:00.0,1305069,0,
20747,16972,1,00:00.0,00:00.0,0,0,
20748,18617,2,00:00.0,00:00.0,0,0,
20749,18599,3,00:00.0,00:00.0,1285781,0,
20750,18600,3,00:00.0,00:00.0,1272527,0,
20751,18601,3,00:00.0,00:00.0,1293412,0,
20752,18602,3,00:00.0,00:00.0,1295892,0,
20753,18605,3,00:00.0,00:00.0,1277708,0,
20754,18607,3,00:00.0,00:00.0,1228925,0,
20755,18610,3,00:00.0,00:00.0,1270276,0,
20756,18611,3,00:00.0,00:00.0,1274944,0,
20757,18612,3,00:00.0,00:00.0,1308808,0,
20758,18613,3,00:00.0,00:00.0,1307906,0,
20759,18614,3,00:00.0,00:00.0,1306441,0,
20760,18616,3,00:00.0,00:00.0,1319165,0,
20761,11201,2,00:00.0,00:00.0,0,0,
20762,11358,4,00:00.0,00:00.0,0,0,
20763,11378,4,00:00.0,00:00.0,0,0,
20764,11385,4,00:00.0,00:00.0,0,0,
20765,11380,2,00:00.0,00:00.0,0,0,
20766,11386,1,00:00.0,00:00.0,0,0,
20767,11383,3,00:00.0,00:00.0,1272560,0,
20768,11379,1,00:00.0,00:00.0,0,0,
20769,11387,1,00:00.0,00:00.0,0,0,
20770,11381,3,00:00.0,00:00.0,1276834,0,
20771,11391,3,00:00.0,00:00.0,1261447,0,
20772,11393,3,00:00.0,00:00.0,1120121,0,
20773,11394,3,00:00.0,00:00.0,1149225,0,
20774,11396,3,00:00.0,00:00.0,1247101,0,
20775,19404,3,00:00.0,00:00.0,1251443,0,
20776,19403,3,00:00.0,00:00.0,1152985,0,
20777,11223,1,00:00.0,00:00.0,0,0,
20778,11222,1,00:00.0,00:00.0,0,0,
20779,11221,4,00:00.0,00:00.0,0,0,
20780,11225,1,00:00.0,00:00.0,0,0,
20781,11230,1,00:00.0,00:00.0,0,0,
20782,11227,1,00:00.0,00:00.0,0,0,
20783,11226,4,00:00.0,00:00.0,0,0,
20784,4352,4,00:00.0,00:00.0,0,0,
20785,4350,1,00:00.0,00:00.0,0,0,
