ID|NAME|CODE|ISRESIDENTIAL|ISINACTIVE|VERSION
1|Deleted Buildings|0|False|False|0
2|Locksmith|K1|False|False|0
3|ADMINISTRATION|1|False|False|11
4|GRACE HAIGHT|4|False|False|2
5|CHILD DEVELOPMENT CENTER|5|False|False|0
6|SPEECH|6|False|False|0
7|ESTELLE SIDDONS|7|False|False|0
8|MARY GASTON|8|False|False|5
9|MARGARET MACK|9|False|False|1
10|NELL SUNDAY|10|False|False|0
11|GEORGIA CREEL|11|False|False|0
12|MUSEUM & GALLERY/IT VOICE SERVICES|12|False|False|3
13|FINE ARTS|13|False|False|11
14|STUDENT CENTER|14|False|False|16
15|AMPHITORIUM|15|False|False|10
16|RODEHEAVER AUDITORIUM|16|False|False|12
17|FOUNTAIN/MEMORIAL GARDENS|17|False|False|0
18|HOWELL MEMORIAL SCIENCE|18|False|False|9
19|TENNIS COURTS|19|False|False|0
20|BARGE INFIRMARY|20|False|False|8
21|DAVIS FIELD HOUSE|21|False|False|0
22|ALUMNI STADIUM|22|False|False|2
23|PRINT SHOP|23|False|False|0
24|CLEANERS|25|False|False|0
25|APPLIED STUDIES BUILDING|26|False|False|2
26|ACADEMY GYM|27|False|False|0
27|VIDEO SERVICES|28|False|False|1
28|CHEMICAL STORAGE II|30|False|False|0
29|JOHNSON|31|False|False|0
30|REVEAL|32|False|False|0
31|BROKENSHIRE|33|False|False|3
32|SMITH|34|False|False|0
33|GRAVES|35|False|False|0
34|POWER PLANT|36|False|False|3
35|EXECUTIVE RESIDENCE|37|False|False|0
36|MACK LIBRARY|38|False|False|3
37|ALUMNI BUILDING|39|False|False|23
38|MAIN ENTRANCE|40|False|False|1
39|CAMPUS VIEW APARTMENTS|41|False|False|6
40|OFFICE ANNEX|42|False|False|3
41|WEST GATE GUARD HOUSE|43|False|False|1
42|CHEMICAL STORAGE I|45|False|False|0
43|ELEMENTARY SCHOOL|49|False|False|4
44|SAS Carpentry Shop|50|False|False|1
45|ISC WAREHOUSE|51|False|False|0
46|PAVILION I|53|False|False|1
47|SAS Auto/LINC|54|False|False|0
48|BEGINNINGS CENTER|55|False|False|4
49|GROUNDS MAINTENANCE|56|False|False|0
50|TRANSFORMER VAULT|57|False|False|0
51|SCIENCE ANNEX|58|False|False|4
52|FREMONT FITNESS CENTER|59|False|False|5
53|PEDESTRIAN BRIDGE|66|False|False|0
54|WMUU|75|False|False|0
55|UNIVERSITY PLACE - #1-83|80|False|False|0
56|UNIVERSITY PLACE - #84-108|81|False|False|0
57|UNIVERSITY PLACE - #109-148|82|False|False|0
58|UNIVERSITY PLACE POOL BUILDING|83|False|False|0
59|ACADEMY HUTTO BUILDING|130|False|False|4
60|ACADEMY COLLINS BUILDING|131|False|False|1
61|MARKHAM CENTER|132|False|False|3
62|ACADEMY MAIN|133|False|False|2
63|ACADEMY MUSIC BUILDING B|134|False|False|1
64|ACADEMY BROWN BUILDING|135|False|False|3
