ID|KEYID|KEYSTATUSID|STARTDATE|ENDDATE|OWNERID|PERSONRESPID|NOTE
20740|14830|1|1900-01-18|1900-01-19|0|0|
20741|14831|3|1900-01-19|1900-01-20|1149396|0|
20742|7257|4|1900-01-20|1900-01-21|0|0|
20743|7256|1|1900-01-21|1900-01-22|0|0|
20744|16854|1|1900-01-22|1900-01-23|0|0|
20745|16855|3|1900-01-23|1900-01-24|1257046|0|
20746|16857|3|1900-01-24|1900-01-25|1305069|0|
20747|16972|1|1900-01-25|1900-01-26|0|0|
20748|18617|2|1900-01-26|1900-01-27|0|0|
20749|18599|3|1900-01-27|1900-01-28|1285781|0|
20750|18600|3|1900-01-28|1900-01-29|1272527|0|
20751|18601|3|1900-01-29|1900-01-30|1293412|0|
20752|18602|3|1900-01-30|1900-01-31|1295892|0|
20753|18605|3|1900-01-31|1900-02-01|1277708|0|
20754|18607|3|1900-02-01|1900-02-02|1228925|0|
20755|18610|3|1900-02-02|1900-02-03|1270276|0|
20756|18611|3|1900-02-03|1900-02-04|1274944|0|
20757|18612|3|1900-02-04|1900-02-05|1308808|0|
20758|18613|3|1900-02-05|1900-02-06|1307906|0|
20759|18614|3|1900-02-06|1900-02-07|1306441|0|
20760|18616|3|1900-02-07|1900-02-08|1319165|0|
20761|11201|2|1900-02-08|1900-02-09|0|0|
20762|11358|4|1900-02-09|1900-02-10|0|0|
20763|11378|4|1900-02-10|1900-02-11|0|0|
20764|11385|4|1900-02-11|1900-02-12|0|0|
20765|11380|2|1900-02-12|1900-02-13|0|0|
20766|11386|1|1900-02-13|1900-02-14|0|0|
20767|11383|3|1900-02-14|1900-02-15|1272560|0|
20768|11379|1|1900-02-15|1900-02-16|0|0|
20769|11387|1|1900-02-16|1900-02-17|0|0|
20770|11381|3|1900-02-17|1900-02-18|1276834|0|
20771|11391|3|1900-02-18|1900-02-19|1261447|0|
20772|11393|3|1900-02-19|1900-02-20|1120121|0|
20773|11394|3|1900-02-20|1900-02-21|1149225|0|
20774|11396|3|1900-02-21|1900-02-22|1247101|0|
20775|19404|3|1900-02-22|1900-02-23|1251443|0|
20776|19403|3|1900-02-23|1900-02-24|1152985|0|
20777|11223|1|1900-02-24|1900-02-25|0|0|
