ID|NUMBER|KEYTYPEID
16385|5|3390
16386|1|3391
16387|2|3391
16388|3|3391
16389|1|3392
16390|2|3392
16391|3|3392
16392|4|3392
16393|5|3392
16394|6|3392
16395|23|4151
16396|8|4475
16397|1|3393
16398|2|3393
16399|1|3394
16400|2|3394
16401|1|3395
16402|2|3395
16403|1|3396
16404|2|3396
16405|1|3397
16406|2|3397
16407|3|3397
16408|1|3398
16409|2|3398
16410|3|3398
16411|4|3398
16412|5|3398
16413|1|3399
16414|2|3399
16415|3|3399
16416|4|3399
16417|5|3399
16418|6|3399
16419|7|3399
16420|8|3399
16421|9|3399
16422|10|3399
16423|11|3399
16424|12|3399
16425|13|3399
16426|14|3399
16427|15|3399
16428|16|3399
16429|17|3399
16430|18|3399
16431|19|3399
16432|20|3399
16433|21|3399
16434|22|3399
16435|23|3399
16436|24|3399
16437|25|3399
16438|26|3399
16439|27|3399
16440|28|3399
16441|1|3400
16442|2|3400
16443|3|3400
16444|4|3400
16445|5|3400
16446|6|3400
16447|7|3400
16448|8|3400
16449|1|3401
16450|2|3401
16451|1|3402
16452|2|3402
16453|3|3402
16454|4|3402
16455|5|3402
16456|6|3402
16457|7|3402
16458|1|3403
16459|2|3403
16460|3|3403
16461|4|3403
16462|1|3404
16463|2|3404
16464|1|3405
16465|2|3405
16466|3|3405
16467|4|3405
16468|5|3405
16469|6|3405
16470|1|3406
16471|2|3406
16472|3|3406
16473|1|3407
16474|2|3407
16475|3|3407
16476|1|3408
16477|1|3409
16478|1|3410
16479|2|3410
16480|1|3411
16481|2|3411
16482|3|3411
16483|4|3411
16484|1|3412
16485|2|3412
16486|1|3413
16487|2|3413
16488|1|3414
16489|2|3414
16490|3|3414
16491|1|3415
16492|2|3415
16493|3|3415
16494|4|3415
16495|1|3416
16496|2|3416
16497|1|3417
16498|2|3417
16499|1|3418
16500|2|3418
16501|1|3419
16502|2|3419
16503|3|3419
16504|4|3419
16505|5|3419
16506|6|3419
16507|7|3419
16508|8|3419
16509|9|3419
16510|10|3419
16511|1|3420
16512|2|3420
16513|3|3420
16514|4|3420
16515|1|3421
16516|2|3421
16517|3|3421
16518|4|3421
16519|5|3421
16520|6|3421
16521|7|3421
16522|1|3422
16523|2|3422
16524|1|3423
16525|1|3424
16526|2|3424
16527|3|3424
16528|1|3425
16529|2|3425
16530|3|3425
16531|4|3425
16532|1|3426
16533|2|3426
16534|3|3426
16535|1|3427
16536|2|3427
16537|3|3427
16538|1|3428
16539|2|3428
16540|1|3429
16541|2|3429
16542|1|3430
16543|2|3430
16544|1|3431
16545|2|3431
16546|1|3432
16547|2|3432
16548|3|3432
16549|1|3433
16550|2|3433
16551|1|3434
16552|2|3434
16553|1|3435
16554|2|3435
16555|1|3436
16556|2|3436
16557|1|3437
16558|2|3437
16559|1|3438
16560|2|3438
16561|3|3438
16562|4|3438
16563|1|3439
16564|2|3439
16565|1|3440
16566|2|3440
16567|1|3441
16568|2|3441
16569|1|3442
16570|2|3442
16571|3|3442
16572|1|3443
16573|2|3443
16574|1|3444
16575|1|3445
16576|2|3445
16577|1|3446
16578|2|3446
16579|3|3446
16580|1|3447
16581|2|3447
16582|3|3447
16583|4|3447
16584|5|3447
16585|6|3447
16586|7|3447
16587|8|3447
16588|9|3447
16589|10|3447
16590|11|3447
16591|12|3447
16592|13|3447
16593|14|3447
16594|15|3447
16595|16|3447
16596|17|3447
16597|18|3447
16598|19|3447
16599|20|3447
16600|21|3447
16601|22|3447
16602|23|3447
16603|24|3447
16604|25|3447
16605|26|3447
16606|27|3447
16607|28|3447
16608|29|3447
16609|30|3447
16610|31|3447
16611|32|3447
16612|33|3447
16613|34|3447
16614|35|3447
16615|1|3448
16616|2|3448
16617|3|3448
16618|4|3448
16619|5|3448
16620|6|3448
16621|7|3448
16622|8|3448
16623|9|3448
16624|10|3448
16625|11|3448
16626|12|3448
16627|13|3448
16628|14|3448
16629|15|3448
16630|16|3448
16631|17|3448
16632|18|3448
16633|19|3448
16634|20|3448
16635|21|3448
16636|22|3448
16637|23|3448
16638|24|3448
16639|25|3448
16640|26|3448
16641|27|3448
16642|28|3448
16643|29|3448
16644|30|3448
16645|31|3448
16646|32|3448
16647|33|3448
16648|34|3448
16649|35|3448
16650|36|3448
16651|37|3448
16652|38|3448
16653|39|3448
16654|40|3448
16655|41|3448
16656|1|3449
16657|2|3449
16658|1|3450
16659|1|3451
16660|2|3451
16661|3|3451
16662|4|3451
16663|5|3451
16664|6|3451
16665|7|3451
16666|8|3451
16667|1|3452
16668|2|3452
16669|3|3452
16670|4|3452
16671|5|3452
16672|1|3453
16673|2|3453
16674|3|3453
16675|4|3453
16676|5|3453
16677|1|3454
16678|2|3454
16679|3|3454
16680|4|3454
16681|5|3454
16682|6|3454
16683|7|3454
16684|8|3454
16685|1|3455
16686|2|3455
16687|3|3455
16688|4|3455
16689|1|3456
16690|2|3456
16691|3|3456
16692|4|3456
16693|5|3456
16694|6|3456
16695|7|3456
16696|1|3457
16697|2|3457
16698|3|3457
16699|4|3457
16700|5|3457
16701|6|3457
16702|7|3457
16703|8|3457
16704|1|3458
16705|2|3458
16706|1|3459
16707|2|3459
16708|3|3459
16709|4|3459
16710|5|3459
16711|6|3459
16712|7|3459
16713|8|3459
16714|9|3459
16715|1|3460
16716|2|3460
16717|3|3460
16718|4|3460
16719|5|3460
16720|6|3460
16721|7|3460
16722|8|3460
16723|9|3460
16724|10|3460
16725|11|3460
16726|12|3460
16727|1|3461
16728|2|3461
16729|1|3462
16730|2|3462
16731|3|3462
16732|4|3462
16733|5|3462
16734|1|3463
16735|2|3463
16736|3|3463
16737|4|3463
16738|1|3464
16739|2|3464
16740|3|3464
16741|4|3464
16742|5|3464
16743|6|3464
16744|7|3464
16745|1|3465
16746|2|3465
16747|1|3466
16748|1|3467
16749|2|3467
16750|1|3468
16751|2|3468
16752|3|3468
16753|1|3469
16754|2|3469
16755|1|3470
16756|1|3471
16757|2|3471
16758|1|3472
16759|1|3473
16760|2|3473
16761|3|3473
16762|4|3473
