ID|CODE|MANU_INFO|DESCRIPTION|BUILDINGID
1|A not in use 10/15/15|A6179ZG|AD BUILDING MASTER|3
2|AA NOT IN USE  10/15/15|A5979ZG|ACADEMIC MASTER|3
3|AAA1 not in use 10/15/15|A2130P|records office exterior.|3
4|EPE7|E210303|Sound room davis field|21
5|AAA4 not in use  10/15/15|A2128Z|EQUIPMENT ROOM-GROUND FLOOR|3
6|AABB|LB40933X|PUBLIC SAFETY, WELCOME CENTER|38
7|AAB1 NOT IN USE 10/15/15|A2231W|BUS OFFICE FRONT & BURSAR|3
8|AAB10 NOT IN USE 10/15/15|A2620W|INTERNAL ACCOUNTANT|3
9|AAB11NOT IN USE 10/15/15|A2612W|MANAGER OF FINANCIAL AFFAIRS|3
10|AAB2 NOT IN USE 10/15/15|A2224W|BACK STAIRS TO BUS OFFICE|3
11|AAB3 NOT IN USE 10/15/15|A2220W|ACCOUNTS PAYABLE OFFICE|3
12|AAB4 NOT IN USE 10/15/15|A2219W|TREASURER'S OFFICE|3
13|AAB5 NOT IN USE 10/15/15|A2218W|MISS HOLMES' OFFICE|3
14|AAB6 NOT IN USE 10/15/15|A2233W|SECRETARY TO FILE ROOM|3
15|AAB7NOT IN USE 10/15/15|A2232W|INTERNAL ACCOUNTANT SECRETARY|3
16|AAB8NOT IN USE 10/15/15|A2212W|UPSTAIRS BUSINESS OFFICE|3
17|AAB9NOT IN USE 10/15/15|A2225W|INNER OFFICE & STORAGE|3
18|AAFUSE 10/15/15|A5979P|RECORDS OFFICE MASTER|3
19|AAC1 NOT IN USE 10/15/15|A2830P|ADMIN BUILDING RECORDS OFFICE|3
20|AAC2NOT IN USE 10/15/15|A2823P|REGISTRAR'S OFFICE|3
21|AADD1|A5906Z|DEAN OF ARTS AND SCIENCE|3
22|AADD10|A5903Z|DEAN OF FINE ARTS SECRETARY|3
23|AADD11 NOT IN USE 10/15/15|A5904Z|DEAN OF MEN'S SECRETARY OFF|3
24|AADD12|A5905Z|DEAN OF WOMEN'S SECRETARY OFF|3
25|AADD2|A5920Z|DEAN BUSINESS ADMINISTRATION|3
26|AADD3|A5934Z|SECRETARY|3
27|PAAD3 not in use 03/03/16|A5916Z|ADMIN PROVOST'S OFFICE|3
28|AADD5|A5917Z|DEAN SCHOOL OF RELIGION SECRT|3
29|AADD6|A5914Z|DEAN OF STUDENTS' OFFICE|3
30|AADD7|A5901Z|DEAN OF STUDENTS SECRETARY|3
31|AADD8|A5910Z|DIRECTOR OF MINISTRIES SEC|3
32|FAAH*|||
33|FO|||
34|AADD9|A5908Z|SECRETARY|3
35|AAD1NOT IN USE 10/15/15|A2106ZG|DEAN OF ARTS AND SCIENCE|3
36|AAD10USE 10/15/15|A2103ZG|New DC office|3
37|AAD11|A2104ZG|DEAN OF MEN'S/SEC.EXT. OFFICE|3
38|AAD12 no longer in use 11/1/15|A2105ZG|DEAN OF WOMEN'S OFFICE|3
39|AAD13|A2127ZG|Colleen Reilly office|3
40|AAD2|A2120ZG|DEAN BUSINESS ADMINISTRATION|3
41|AAD3|A2134ZG|DEAN SCHOOL OF EDUCATION|3
42|AAD4|A2116ZG|PROVOST'S OFFICE|3
43|AAD5USE 10/15/15|A2172ZG|Phil gerard office|3
44|AAD6|A2114ZG|DEAN OF STUDENTS' OFFICE|3
45|AAD7NOT IN USE 10/15/15|A2101ZG|DEAN OF STUDENTS SECRETARY|3
46|AAD8NOT IN USE 10/15/15|A2110ZG|DIRECTOR OF MINISTRIES|3
47|AAD9NOT IN USE 10/15/15|A2108ZG|OFFICE - LOCK IS LOST|3
48|AAEUSE 10/15/15|A5979R|business office|3
49|AAE1|A2830R|WHM C14, TELEPHONE SWITCH RM|67
50|AAE11|A2804R|ROOF|3
51|AAE3USE 10/15/15|A2823R|BUSINESS OFFICE STORAGE|3
52|AAE4|A2834R|UPSTAIRS BREAK ROOM-REMOVED|3
53|CLWR|C632925|Ladies rest room auto|47
54|AAE6USE 10/15/15|A2817R|EXT.EDUCATION ENTRANCE-NIU|3
55|AAE7|A2801R|EXTENDED ED RECEPTIONIST-NIU|3
56|AAE8USE 10/15/15|A2810R|EXT.EDUCATION DIRECTOR-NIU|3
57|AAE9USE 10/15/15|A2808R|ACADEMY OF HOME ED.OFF-NIU|3
58|AAFUSE 10/15/15|A2879Q|OFFICE MANAGER MASTER|3
59|AAF1not in use|A2830Q|OFFICE MANAGER'S SECRETARY|3
60|AAGUSE 10/15/15|A5979X|PRES.ASSIST.OFFICE MASTER-NIU|3
61|AAG1USE 10/15/15|A2830X|SECT. TO PRES. ASSISTANT-NIU|3
62|FH271|LC92963|119B White Oak|
63|AAH1USE 10/15/15|A2830W|MIMEOGRAPH ROOM|3
64|AAH2USE 10/15/15|A2823W|MIMEOGRAPH STORAGE|3
65|AAH3USE 10/15/15|A2834W|ADMIN PROMOTIONS OFFICE|3
66|AAH4NOT IN USE 10/15/15|A2816W|admin mail room|3
67|AAH5USE 10/15/15|A2807P|AD BUILDING MAIL ROOM|3
68|AAJ1|A2220Y|EXECUTIVE WING ENTRANCE-NIU|3
69|AAJ10USE 10/15/15|A2227Y|BENETH JONES' OFFICE-NIU|3
70|AAJ2|A2212Y|AD BUILDING CONFERENCE RM-NIU|3
71|AAJ3niUSE 10/15/15|A2225Y|2 GENERAL OFFICES EXEC WING|3
72|AAJ4USE 10/15/15|A2224Y|EXECUTIVE VICE PRESIDENT-NIU|3
73|AAJ5USE 10/15/15|A2232Y|CHANCELLOR'S SECRETARY-NIU|3
74|AAJ6|A2231Y|CHANCELLOR'S OFFICE-NIU|3
75|AAJ7|A2219Y|PRESIDENT'S OFFICE-NIU|3
76|AAJ8USE 10/15/15|A2233Y|PRESIDENT'S SECRETARY-NIU|3
77|AAJ9 NOT IN USE 10/15/15|A2218Y|"GIFT ""VAULT"" ON GROUND FLOOR"|3
78|469924|||
79|CDCM|O|cdc message board|5
80|GF647|GF647|WHM 103 PLUMBING DESK|66
81|C306A|40242|DINING COMMON COLD PACK FREEZ|159
82|JAA163|LA98369|UP APARTMENT  85|56
83|JAA199|LA96763|UP APARTMENT 110|57
84|JAA186|LA74963|UP APARTMENT 100|56
85|JAA187|LA94963|UP APARTMENT 119|57
86|JAA195|LA94363|UP APARTMENT 121|57
87|JAA172|LA12963|UP APARTMENT 124|57
88|JAA200|LA16763|UP APARTMENT 125|57
89|JAA211|LA96363|NOT IN USE AT PRESENT TIME|57
90|JAA191|LA94163|UP APARTMENT 127|57
91|JAA208|LA16163|UP APARTMENT 129|57
92|JAA220|LA18963|UP APARTMENT 134|57
93|JAA169|LA52963|UP APARTMENT  86|56
94|JAA221|LA58163|UP APARTMENT 140|57
95|JAA194|LA74363|UP APARTMENT 138|57
96|JAA207|LA96163|UP APARTMENT 117|57
97|JAA184|LA14763|UP APARTMENT  34|55
98|JAA214|LA78763|UP APARTMENT  93|56
99|JAA173|LA52163|UP APARTMENT 117 not in use 09/01/2016|57
100|JAA171|LA92963|UP APARTMENT 111|57
101|JAA215|LA98763|UP APARTMENT 130|57
102|JAA206|LA76163|UP APARTMENT 145|57
103|JAA196|LA14363|UP APARTMENT 107|56
104|JAA177|LA52363|UP APARTMENT  90  - NIU|56
105|JAA222|LA78163|UP APARTMENT 137|57
106|JAA181|LA54763|UP APARTMENT 114|57
107|JAA212|LA16363|UP APARTMENT 112|57
108|JAA183|LA94763|UP APARTMENT  38|55
109|JAA193|LA54363|UP APARTMENT 131|57
110|JAA179|LA92363|UP APARTMENT  87|56
111|JAA201|LA56963|UP APARTMENT 147|57
112|JAA213|LA58763|UP APARTMENT 120|57
113|JAA203|LA96963|UP APARTMENT 109|57
114|JAA161|LA58369|UP APARTMENT  71|57
115|JAA197|LA56763|UP APARTMENT  89|56
116|JAA180|LA12363|UP APARTMENT  97|56
117|JAA162|LA78369|UP APARTMENT  75 not in use 05/16/18|55
118|JAA218|LA78963|UP APARTMENT  92|56
119|JAA155|LA98969|UP APARTMENT  24|55
120|JAA190|LA74163|UP APARTMENT 148|57
121|JAA223|LA98163|UP APARTMENT 139|57
122|JAA167|LA92763|UP APARTMENT  37|55
123|P420|MASTER|LOCKOUT PADLOCK|66
124|669770|||
125|ML46|72543|SOUTH AREA / LOANER-SNACKSHOP|66
126|JAA185|LA54963|UP APARTMENT  88|56
127|JAA204|LA16963|UP APARTMENT  91|56
128|JAA192|LA14163|UP APARTMENT 141|57
129|JAA210|LA76363|UP APARTMENT  96|56
130|JAA170|LA72963|UP APARTMENT  98|56
131|JAA209|LA56363|UP APARTMENT 116|57
132|JAA198|LA76763|UP APARTMENT  99|56
133|JAA176|LA12163|UP APARTMENT 102|56
134|JAA224|LA18163|UP MAINTENANCE SHOP|55
135|AB NOT IN USE 10/15/15|A6170W|BUSINESS OFFICE MASTER|3
136|ABY1|SHIFT|PRINT SHOP TIME CLOCK|23
137|ACM|A5879D|ACADEMY MASTER KEY|62
138|ACM10|A2218D|ACADEMY OFFICE H-1 & JH FAC-2|59
139|ACM11|A2229D|JUNIOR HIGH COUNSELOR OFFICE|59
140|ACM12|A2227D|ACADEMY OFFICE H-3|59
141|ACM13|A2205D|ACADEMY OFFICE H-5|59
142|ACM14|A2211D|ACADEMY OFFICE H-10|59
143|ACM15|A2204D|ACADEMY OFFICE B-2|64
144|ACM16|A2209D|ACADEMY OFFICE M-9 & M-10|62
145|ACM17|A5822D|ACADEMY GYM, EXTERIOR DOORS|26
146|ACM18|A2203D|ACADEMY GYM, EQUIPMENT ROOM|26
147|ACM19|A2688D|ACADEMY GYM, MEN'S OFFICE|26
148|ACM2|A2220D|ACADEMY OFFICE MB-1 & BAND RM|63
149|ACM20|A2691D|ACADEMY GYM, WOMEN'S OFFICE|26
150|ACM21|A2226D|NOT IN USE AT PRESENT TIME|26
151|ACM22|A2221D|NOT IN USE AT PRESENT TIME|26
152|ACM23|A2214D|NOT IN USE AT PRESENT TIME|62
153|ACM24|A2208D|ACADEMY OFFICE M-3|62
154|ACM25|A2210D|ACADEMY OFFICE MA-1 principles office|61
155|ACM26|A2206D|ACADEMY OFFICE M-8|62
156|ACM27|A2201D|ACADEMY OFFICE B-1|64
157|ACM28|A2202D|ACADEMY OFFICE B-5|64
158|ACM29|A2207D|ACADEMY OFFICE ?? (AV OFFICE)|64
159|ACM3|A2212D|ACADEMY DISCIPLINE COMMITTEE|64
160|ACM30|A2215D|ACADEMY OFFICE B-6|64
161|ACM31|A2213D|ACADEMY OFFICE B-7|64
162|ACM32|A2235D|ACADEMY OFFICE H-2 & ROOM 204|59
163|ACM33|A2217D|ACADEMY ROOM B-104|64
164|ACM34|A2216D|ACADEMY MEDIA ROOM|64
165|ACM35|A2234D|ACADEMY OFFICES C-2 & C-3|60
166|ACM36|A2223D|ACADEMY OFFICE C-1 (BIOLOGY)|60
167|ACM37|A2230D|ACADEMY AUDITORIUM LIGHT BTH|60
168|ACM4|A2225D|NOT IN USE AT PRESENT TIME|62
169|ES201|PENLOCK|access point enclosure dinning common|159
170|ACM5|A2224D|ACADEMY OFFICE H-6|59
171|ACM6|A2232D|ACADEMY B-103 AND JH FAC-1|64
172|ACM7|A2231D|ACADEMY H-207 (ACADEMIAN RM)|59
173|ACM8|A2219D|ACADEMY OFFICE H-8|59
174|ACM9|A2233D|ACADEMY OFFICE H-4|59
175|ADP|A1623S|REVEAL IT TRAINING BREAK ROOM|67
176|ADPA   (A)USE 10/15/15|A1667S|DEAN OF MENS OFFICE|3
177|AEL01|AEL01|CLEANERS WASH MACH COMPUTERS|24
178|AH|AH|SIMPLEX ALARM RESET|29
179|AH01|AH01|SOOT CHASER|34
180|AJUSE 10/15/15|A6170Y|EXECUTIVE WING MASTER-OLD|3
181|AJS|A5879Q|APPLIED STUDIES MASTER|25
182|AJS10|A2603Q|APPLIED STUDIES OFFICE 6|25
183|AJS11|A2604Q|APPLIED STUDIES OFFICE 5|25
184|AJS2|A2623Q|APPLIED STUDIES MAIN OFFICE|25
185|AJS3|A2634Q|APPLIED STUDIES CABINET SHOP|25
186|AJS4|A2616Q|APPLIED STUDIES OFFICE 4|25
187|AJS5|A2617Q|APPLIED STUDIES OFFICE 3|25
188|AJS6 NOT IN USE09/09/18|||25
189|AJS7 NOT IN USE 09/09/18|||25
190|AJS8|A2610Q|APPLIED STUDIES OFFICE 8|25
191|AJS9|A2608Q|APPLIED STUDIES OFFICE 7|25
192|AK|A5879P|TELECOMMUNICATIONS MASTER|12
193|AK2|A2268P|TELECOMMUNICATIONS APARTMENT|12
194|AK3|A2204P|TELECOMMUNICATIONS OFFICE|12
195|EACR1 NOT IN USE 10/15/15|E810503|Admissions counseling|3
196|AL1A|SARGENT U|ANNEX 2ND FLOOR FRENCH DOOR|40
197|AL102|AL102|POLAROID ID CAMERAS|16
198|AL2|A2234R|ANNEX NEW DONATION/OLD FRIEND|40
199|AL3|A2216R|ANNEX UNUSUAL TOURS|40
200|AL4|A2217R|ANNEX ANCILLARY SERVICES|40
201|AL5|A2223R|ANNEX ACC.PAYABLE not in use 10/12/16|40
202|SRSR|E632967|student recruitment storage room|40
203|AM1|AMERICAN|COMBINATION PADLOCK MASTER|21
204|2753|2654|COGEN, MACHINE SHOP PAD LOCKS|34
205|AUE1|COR AUE1|CABINETS AND DRAWERS|3
206|HON306|HUDSON|ACADEMY FILE CABINET|62
207|A067|MMF|CLEANERS CASH REGISTER|24
208|T597|NATIONAL|ALUMNI FILE CABINET|37
209|A126|SK|COGEN BREAKER SELECTOR|34
210|106R   (P)|ESP|ANNEX SAFETY SER.LATERAL FILE|40
211|C422A|4246|WHM 108, UPHOLSTERY CABINETS|67
212|A2101|NATIONAL|LAUNDRY CASH REGISTER  1|24
213|A2105|NATIONAL|LAUNDRY CASH REGISTER  2|24
214|CGBR1|C610747|Cogen booth|34
215|60|NATIONAL|ALUMNI OFFICE 69 FILE CABINET|37
216|GF531|YALE|RECORDS OFFICE DESK, REINER|3
217|UFC1|UFC|FILMS ROLL UP CABINET|16
218|LLK5|YALE|EXTENSION OFFICE DESK|3
219|C069A  (A)|26446|ACADEMY GYM, WOMEN'S OFF DESK|26
220|GF542|YALE|RECORDS OFFICE DESK, SHELTON|3
221|2252|CHICAGO|WHEEL CHAIR LIFTS|18
222|BR579|BR579|FRIENDSHIP BANQUET CABINET|40
223|81505|PHILIP EOU||
224|135R   (M)|ESP|WHM 207 FILE CABINET|67
225|FA310|LC16785|GASTON PRACTICE ROOM 11 HARP|8
226|P582|3323|GROUNDS MAINTENANCE FILE CAB|49
227|A9161|DUO|MED CAB. GROUNDS FLOOR DUO|20
228|A9163|DUO|MED CABINET 2ND FLOOR|20
229|B|A1479ZA|M&G @ BJU OLD MASTER KEY|12
230|HON109|ESP|ED TECH JUDY HENSLEY'S DESK|47
231|E030A|42400|REVEAL A&O OFFICE DESK|30
232|BB4|LF65226X|ART GALLERY TRANSFORMER ROOM|12
233|BB412|COLE|MICROFICHE CAB|36
234|FH270|LC72963|119a White oak drive|
235|FH272|LC12963|118AB Buena vista|
236|FH273|LN92163|307 A White Oak|
237|FH275|LA92363|307b white oak|
238|EB18|E014745|New alumni office 7|37
239|LHPC|C73453|Lake house prophets c|2
240|JAA260|LA94365|UP apt 7|55
241|ESCP10|E014785|SHEPHERDS CARE ROOM 102|
242|ESCP17|E830785|SHEPHERDS CARE ROOM 203|
243|123E||DWooten file cabinet|
244|113E||DWooten file cabinet|
245|MCCC1|C012721|Markham custodial closet|61
246|RTR|C092747|Residential tool room|67
247|HGTMK|C529836|Heritage Green master|12
248|HGA|C723836|Heritage green a key|12
249|HGB|C923836|Heritage green b key|12
250|HGC|C123836|Heritage green c key|12
251|HGD|C323836|Herritage green d key|12
252|HGE|C725836|Heritage green e key|12
253|HGF|C587836|Heritage green f key|12
254|HGF1|C727836|Heritage green f1 key|12
255|HGF2|C927836|Heritage green f2 key|12
256|TSC13|C656327|Temp science 134|18
257|SCC1|C810727|Collegian|14
258|C413A|COMP X|Collegian cabinets|14
259|WSR1|C692329|Warehouse storeroom|68
260|EB19|E214745|New alumni office 6|37
261|ERSO|E616325|Rich streeters office|16
262|CDCMO|C616747|CDC main office|5
263|EPSO1USE 10/15/15|E210725|Provost secretary office|167
264|FH286|LC74163|25 Profs place|93
265|HGF3|C127836|Heritage green f3|12
266|REM|E478525|Rodeheaver master|16
267|FH289|LA96949|102 Buena vista|155
268|FH287|LA94163|116A Buena vista|155
269|FH288|LA52949|116 B Buena vista|155
270|PN|LN41638|Pharmacy lock|20
271|MGTMK|C569614|Museum master key|12
272|MGSE1|C767836|Museum staff entrance|12
273|EIDO1USE 10/15/15|E010725|Information desk office|3
274|MGSE2|C967836|Museum public entrance|12
275|EB31|E232745|DEAN TAYLOR|37
276|EB32|E634745|DEAN CARRUTHERS|37
277|EB27|E230745|nathan crocket|37
278|EB39|E236745|DEAN buiter|37
279|EB26|E030745|DEAN SHORT|37
280|RRC1|E612325|Rupp room closet|15
281|EL042|Y11 01122|Photo studio cabinet|13
282|FO17|LA52945|Siddons 222|7
283|FO18|LA72945|Siddons apartment 6|7
284|SCE|E214721|Science classroom master|18
285|MOM|C612747|Maintenance office|68
286|HGF4|C327836|Heritage green f4 key|12
287|CLC|C812725|Dry cleaner master key|24
288|GHC300|PC612725|Closet in Grace Haight|4
289|C305A|21233|Hargraves desk credenza|3
290|EB46b|E656745|New alumni office 62|37
291|CSAS|E610329|sas classroom master|25
292|EX1|E721636|CVA ABC|39
293|EX2|E101636|CVA C|39
294|EX3|E301636|University place exterior|55
295|EXRM|E581636|Residential external master|2
296|EMK|E587636|External master key|2
297|BE101|E701636|CVA APT B1|39
298|BE102|E921636|CVA APT B2|39
299|BE103|E121636|CVA APT B3|39
300|BE104|E321636|CVA APT B4|39
301|MIKE 1|C587636|HOUSE MASTER|2
302|BE105|E741636|CVA APT B5|39
303|BE106|E941636|CVA APT B6|39
304|BE107|E141636|CVA APT B7|39
305|MIKE 2|C581636|PRIVATE APT|2
306|BE108|E341636|CVA APT B8|39
307|BE109|E761636|CVA APT B9|39
308|BE1010|E961636|CVA APT B10|39
309|BE1011|E161636|CVA APT B11|39
310|BE1012|E361636|CVA APT B12|39
311|76P229|EAGLE||64
312|MIKE 3|C721636|GARAGE ONLY|2
313|MIKE 4|C301636|PRIVATE APT ONLY|2
314|MIKE 5|C583636|HOUSE ONLY|2
315|EXCC|EP103636|CDC exterior|5
316|ESAM|E612721|Sargent art mullion|13
317|P134|MASTER|quad light switch|62
318|ES122|E616721|Science office 122  niu 01/06/15|18
319|AAIT|C632725|Reveal it storage|30
320|ESAS|EP303636|SAS exterior|25
321|EXOCM|E583636|campus exterior master|2
322|REC1|E614325|Rodeheaver custodial|16
323|REC2|E814325|Rodeheaver camera check|16
324|EAJX|E723636|Academy junior high exterior|62
325|FAEnot in use|C632127|Financial aid entrance|3
326|RAD|E014325|Rodeheaver auditorium doors|16
327|REC3|E214325|Rodeheaver dimmer light room|16
328|FA1|C832127|Financial aid office A|3
329|FA2|C032127|Financial aid office B|3
330|FA3USE 10/15/15|C232127|Financial aid supply|3
331|GM1|?|IT MALL|2
332|CMA|E612145| Academy junior high classroom|62
333|EMS|E363636|Machine shop|34
334|EFC|E163636|Fremont fitness center entrance|21
335|EB30|E032745|Alumni office 223 ALSO 207|37
336|EB33|E834745|alumni office 224 also office 55|37
337|EB34|E034745|Alumni ofice 225|37
338|EB90|E852945|Alumni office 226|37
339|EB91|E052945|Alumni office 227 also 213|37
340|EB92|E252945|ALUMNI OFFICE 228|37
341|AFS1|E836967|Fire safety annex|40
342|JS1|LA72743|Johnson storage|29
343|306E|ILCO 1502|choir room file cabinet|63
344|AAB7 NOT IN USE 10/15/15|A2232W|press vault|23
345|CRL   X19|LA45477X|Cancer research lab barge science office 103|20
346|ASM|EP478545|Academic success master|37
347|XECVA|E650725|CVA EXTERIOR GATES|39
348|CHR1 NOT IN USE 10/15/15|C652127|Human resource administration|3
349|nco1 |C852127|golf practice area|47
350|C0416A|4264|library restricted cabinet|36
351|FAD1|E810149|Fine art dean|13
352|P150|MASTER|CDC, PLUGS FOR HORSE AND CAR|5
353|BH350|BOMMER|CVA APARTMENT A-101 MAILBOX|39
354|BH351|BOMMER|CVA APARTMENT A-102 MAILBOX|39
355|BH352|BOMMER|CVA APARTMENT A-103 MAILBOX|39
356|BH353|BOMMER|CVA APARTMENT A-104 MAILBOX|39
357|BH354|BOMMER|CVA APARTMENT A-201 MAILBOX|39
358|BH355|BOMMER|CVA APARTMENT A-202 MAILBOX|39
359|BH356|BOMMER|CVA APARTMENT A-203 MAILBOX|39
360|BH357|BOMMER|CVA APARTMENT A-204 MAILBOX|39
361|BH358|BOMMER|CVA GUESTROOM A-205 MAILBOX|39
362|BH359|BOMMER|CVA GUESTROOM A-206 MAILBOX|39
363|BH360|BOMMER|CVA APARTMENT A-207 MAILBOX|39
364|BH361|BOMMER|CVA APARTMENT A-208 MAILBOX|39
365|BH362|BOMMER|CVA APARTMENT A-209 MAILBOX|39
366|BH363|BOMMER|CVA APARTMENT A-210 MAILBOX|39
367|BH364|BOMMER|CVA APARTMENT A-301 MAIL -OLD|39
368|BH365|BOMMER|CVA APARTMENT A-302 MAILBOX|39
369|(A)|||
370|ESCO1|E816985|Shepherds care general store|2
371|SE21|LG96769|Seminary Office 222  berg|157
372|CCR1|C010147|Science Cadaver room|18
373|X1|LA47033X|barge science office 107.|20
374|WCC1|E616725|Closets in lower welcome center.|14
375|ESPR|E652721|science plant room|18
376|BH366|BOMMER|CVA APARTMENT A-303 MAILBOX|39
377|BH367|BOMMER|CVA APARTMENT A-304 MAILBOX|39
378|BH368|BOMMER|CVA APARTMENT A-305 MAILBOX|39
379|BH369|BOMMER|CVA APARTMENT A-306 MAILBOX|39
380|BH370|BOMMER|CVA APARTMENT A-307 MAILBOX|39
381|BH371|BOMMER|CVA APARTMENT A-308 MAILBOX|39
382|BH372|BOMMER|CVA APARTMENT A-309 MAILBOX|39
383|BH373|BOMMER|CVA APARTMENT A-310 MAILBOX|39
384|BH374|BOMMER|CVA APARTMENT A-401 MAILBOX|39
385|BH375|BOMMER|CVA APARTMENT A-402 MAILBOX|39
386|BH376|BOMMER|CVA APARTMENT A-403 MAILBOX|39
387|BH377|BOMMER|CVA APARTMENT A-404 MAILBOX|39
388|BH378|BOMMER|CVA APARTMENT A-405 MAILBOX|39
389|BH379|BOMMER|CVA APARTMENT A-406 MAILBOX|39
390|BH380|BOMMER|CVA APARTMENT A-407 MAILBOX|39
391|BH381|BOMMER|CVA APARTMENT A-408 MAILBOX|39
392|BH382|BOMMER|CVA APARTMENT A-409 MAILBOX|39
393|BH383|BOMMER|CVA APARTMENT A-410 MAILBOX|39
394|BH384|BOMMER|CVA APARTMENT A-501 MAILBOX|39
395|BH385|BOMMER|CVA APARTMENT A-502 MAILBOX|39
396|BH386|BOMMER|CVA APARTMENT A-503 MAILBOX|39
397|BH387|BOMMER|CVA APARTMENT A-504 MAILBOX|39
398|BH388|BOMMER|CVA APARTMENT A-505 MAILBOX|39
399|BH389|BOMMER|CVA APARTMENT A-506 MAILBOX|39
400|BH390|BOMMER|CVA APARTMENT A-507 MAILBOX|39
401|BH391|BOMMER|CVA APARTMENT A-508 MAILBOX|39
402|BH392|BOMMER|CVA APARTMENT A-509 MAILBOX|39
403|BH393|BOMMER|CVA APARTMENT A-510 MAILBOX|39
404|BH394|BOMMER|CVA APARTMENT B-101 MAILBOX|39
405|BH395|BOMMER|CVA APARTMENT B-102 MAILBOX|39
406|BH396|BOMMER|CVA APARTMENT B-103 MAILBOX|39
407|BH397|BOMMER|CVA APARTMENT B-104 MAILBOX|39
408|BH398|BOMMER|CVA APARTMENT B-105 MAILBOX|39
409|BH399|BOMMER|CVA APARTMENT B-106 MAILBOX|39
410|BH400|BOMMER|CVA APARTMENT B-107 MAILBOX|39
411|BH401|BOMMER|CVA APARTMENT B-108 MAILBOX|39
412|BH402|BOMMER|CVA APARTMENT B-109 MAILBOX|39
413|BH403|BOMMER|CVA APARTMENT B-110 MAILBOX|39
414|BH404|BOMMER|CVA APARTMENT B-111 MAILBOX|39
415|BH405|BOMMER|CVA APARTMENT       MAILBOX|39
416|BH406|BOMMER|CVA APARTMENT B-201 MAILBOX|39
417|BH407|BOMMER|CVA APARTMENT B-202 MAILBOX|39
418|BH408|BOMMER|CVA APARTMENT B-203 MAILBOX|39
419|BH409|BOMMER|CVA APARTMENT B-204 MAILBOX|39
420|AA213*|||
421|BH410|BOMMER|CVA APARTMENT B-205 MAILBOX|39
422|BH411|BOMMER|CVA APARTMENT B-206 MAILBOX|39
423|BH412|BOMMER|CVA APARTMENT B-207 MAILBOX|39
424|BH413|BOMMER|CVA APARTMENT B-208 MAILBOX|39
425|BH414|BOMMER|CVA APARTMENT B-209 MAILBOX|39
426|BH415|BOMMER|CVA APARTMENT B-210 MAILBOX|39
427|BH416|BOMMER|CVA APARTMENT B-211 MAILBOX|39
428|BH417|BOMMER|CVA APARTMENT B-212 MAILBOX|39
429|BH418|BOMMER|CVA APARTMENT B-301 MAILBOX|39
430|BH419|BOMMER|CVA APARTMENT B-302 MAILBOX|39
431|BH420|BOMMER|CVA APARTMENT B-303 MAILBOX|39
432|BH421|BOMMER|CVA APARTMENT B-304 MAILBOX|39
433|BH422|BOMMER|CVA APARTMENT B-305 MAILBOX|39
434|BH423|BOMMER|CVA APARTMENT B-306 MAILBOX|39
435|BH424|BOMMER|CVA APARTMENT B-307 MAILBOX|39
436|BH425|BOMMER|CVA APARTMENT B-308 MAILBOX|39
437|BH426|BOMMER|CVA APARTMENT B-309 MAILBOX|39
438|BH427|BOMMER|CVA APARTMENT B-310 MAILBOX|39
439|BH428|BOMMER|CVA APARTMENT B-311 MAILBOX|39
440|BH429|BOMMER|CVA APARTMENT B-312 MAILBOX|39
441|BH430|BOMMER|CVA APARTMENT B-401 MAILBOX|39
442|BH431|BOMMER|CVA APARTMENT B-402 MAILBOX|39
443|BH432|BOMMER|CVA APARTMENT B-403 MAILBOX|39
444|BH433|BOMMER|CVA APARTMENT B-404 MAILBOX|39
445|BH434|BOMMER|CVA APARTMENT B-405 MAILBOX|39
446|BH435|BOMMER|CVA APARTMENT B-406 MAILBOX|39
447|BH436|BOMMER|CVA APARTMENT B-407 MAILBOX|39
448|BH437|BOMMER|CVA APARTMENT B-408 MAILBOX|39
449|BH438|BOMMER|CVA APARTMENT B-409 MAILBOX|39
450|BH439|BOMMER|CVA APARTMENT B-410 MAILBOX|39
451|BH440|BOMMER|CVA APARTMENT B-411 MAILBOX|39
452|BH441|BOMMER|CVA APARTMENT B-412 MAILBOX|39
453|BH442|BOMMER|CVA APARTMENT C-105 MAILBOX|39
454|BH443|BOMMER|CVA APARTMENT C-113 MAILBOX|39
455|F211|LC74989|fine art office 12|13
456|109E|?|Tracy brown desk|3
457|NIKS|C614725|modular home  nicks|164
